"AceA" "AceA_fungi" "AceB" "AceB_fungi" "Acetylglucosaminidase" "Alpha_galactosidase_fungi" "AmyA" "Amyx" "Ara" "Axe" "Cda" "Cdh" "Cellobiase" "Chitin_deacetylase_fungi" "Chitinase" "Cutinase" "Endoglucanase" "Endopolygalacturonase_fungi" "Exoglucanase" "Exopolygalacturonase_fungi" "Glucoamylase" "Glx" "Inulinase" "Isopullulanase" "Lactase_fungi" "Ligninase" "Limeh" "Lmo" "Mannanase" "Mnp" "NplT" "Pec_Cdeg" "Pectinase (pectate_lyase)" "Pel_Cdeg" "Phenol_oxidase" "Phospholipase_A2_fungi" "Phospholipase_C_fungi" "Phospholipase_D_fungi" "Pme" "Pme_Cdeg" "Pula" "RgaE" "Rgh" "Rgl" "Tannase_Cdeg" "Vana" "Vdh" "Xylanase"
"9N2017" 190.782681493071 21.5399655300099 343.406234444762 18.6412963156484 222.497241651346 37.5697389060074 1848.41645906368 0 271.522138586483 24.6401016185499 157.856371522685 42.6274445081111 230.022767221847 22.868605449184 665.779378905342 153.367152577808 176.826342639845 19.5439132889118 65.9549540862159 35.4740628003983 81.9027193305813 66.4138626525334 4.67504583681335 12.2325272066316 30.9781781739399 25.0037389714142 69.7677214687356 10.70418688687 116.202250198092 36.5716194805469 66.3221312419091 45.4541301789562 52.1382817931938 5.39026557750285 216.39138547337 40.8364399424 41.9584962225228 26.9995601863267 86.0187720451819 17.0957745511892 109.367261671062 102.71574159837 24.9159639629042 89.0762633895682 31.5456617367439 145.117557927439 45.553325351532 260.17896233969
"9N2018" 186.892940023294 24.7848303906894 339.194338468419 8.39792611818152 228.993197111574 21.6754781269008 1832.62264759589 0 229.275002467487 27.3262386347566 145.808585749947 37.7349952616573 193.398318558478 8.99219915566971 543.217432687799 157.820615784764 187.411173318399 14.9678368370055 76.9245795213241 31.9555230856564 67.3856645818276 56.0719177634502 0 16.8173486205848 6.94055096906078 32.5255007677526 81.9335065537027 8.15366320453016 94.466109179045 25.6976616171937 82.4853935681432 31.0559639452176 50.8350027445113 7.40891037073012 149.236657400597 49.3256335618094 35.1783938527441 16.6185190035619 99.0399844471791 9.65540976863896 92.0302736735699 75.2811475292488 14.627616040636 60.0053045539017 40.6028534582078 136.504594184343 46.1523052785832 205.303044244656
"16soil12N" 207.807726778403 21.8749800087351 405.791067501796 24.1517091307963 220.76511104102 23.1680550298432 1854.96522855129 0 260.880818823549 26.4612325356689 152.602805698523 31.1760233840318 188.758920853807 23.9736187577466 710.224169884483 164.144086267399 167.132050051672 6.04617242481506 72.9155130933809 41.2773982290727 94.2250496985741 61.6870442922132 0 13.2858878504727 16.100151000002 25.9129067739363 92.3946219297102 12.0248248995815 94.2013309661856 22.143873693224 64.8158846944346 46.9590603891272 56.8319845514777 5.70248281711205 180.933971046058 43.0105378416182 28.7944127776167 18.8442490394593 96.8644386021222 7.34399828375838 91.0015043544471 92.0098548186282 16.1815276523106 81.337041315678 32.1795653725506 146.601575194307 60.6608456042788 237.029159417506
"16soil14N" 204.157062136685 21.8110800498434 395.150401260929 18.7877129376415 219.81411882583 33.018365243708 1847.14317048529 0 256.523078643171 26.7885980470181 160.225298070506 35.3478915454651 190.240419121336 23.357210063006 681.033699290515 156.386517831773 152.992081714628 11.3667931599278 67.018052942553 29.7245258504958 81.7520374679188 60.0469701945868 0 13.1566108801765 20.4478938297448 30.8993317190652 79.9214923450581 11.7578959183703 97.2002943904475 21.8318349353569 68.0159380064393 51.088660502733 55.0905289049246 5.45456126073433 186.490308093028 41.9301380813852 33.8668284024342 17.6741297427252 95.5993411843223 7.29175041967077 99.9450200143257 89.4178756202437 15.4161160012261 83.2145286909413 32.8063875864345 148.361944465201 58.4407803483435 254.384640346884
"16soil17N" 204.486415417093 20.8202532255752 401.90745577535 23.3860524290118 240.609194016957 31.3241326110311 1886.16020535159 0 280.618899636097 25.5262693280138 158.539964387878 39.7435829516413 216.215138248083 22.1341520030063 688.104694558636 164.40391596676 161.575158068281 15.588365275891 68.8267349287694 43.0709674232889 92.888694639949 58.4720067900432 0 12.5130040676076 24.7119820804772 29.8082334182359 95.2479827631284 11.2908243695556 97.6821322059819 30.3044103921975 60.9616441908246 50.0794914282156 51.5799516964946 5.4297237237122 190.327689609786 40.0986964720425 36.5050563903902 22.2801898956208 96.7962119144104 11.7766465559005 98.8455178647996 86.6929914558413 15.1717350675129 85.0187955907163 30.7538911370054 151.290093941089 57.0789090683644 247.909075274065
"16soil9N" 180.068782527259 22.9772842104276 385.461951963047 20.2631236584814 185.57818806702 25.1589094141935 1824.3396331381 0 235.60390092734 28.1328445429328 149.42019477317 38.2711193779975 188.74354730674 19.9069817844265 671.399588279883 144.196298658101 166.16677324669 11.7771280068993 65.9836441527968 32.737042045841 82.4226460563351 58.7046494595951 0 13.9822298332809 0 33.7484931504259 90.3800686463938 13.1586413437052 87.2895239687264 23.0752160972145 72.9819790845349 49.8775453262202 53.5279875899006 6.21935393237419 170.127098424618 45.660625392305 30.6824231031069 14.0361152672226 96.9680191665914 7.53958451979798 94.0636388807494 84.0533606394364 17.9593212129872 67.0779252842522 34.5467228535986 148.733641307873 63.4036279330976 245.368871872396
"17soil12N" 165.441013469345 23.7831775601523 322.431415204313 15.9232805241794 191.015755044474 25.988196816937 1745.37901095834 0 222.781254098622 29.7817176491785 150.878826410578 33.8430390885967 194.405273367105 8.84714868921545 521.694397542491 160.676695346002 162.12085276298 6.82953111306821 60.4680134528441 36.2364968505977 79.6787780391966 64.4316867270747 0 15.9959953656503 6.25176753707575 28.5186670856744 72.9750069573513 14.1957084661941 88.5704222448476 30.7342620818658 64.6187294046796 31.7533604808359 66.8343072438017 6.65698382353324 147.135080820053 43.1495949476214 33.0028255788239 15.8761499649847 78.4317001737108 8.88634122920796 104.619417046023 78.9873818833179 6.29565572619004 62.8813642776833 32.5500891599851 129.174685399866 37.4345343501437 214.163283356307
"17soil14N" 189.559728824788 20.754185496459 361.791095389977 14.013582097899 191.691541232957 28.0688493064215 1783.80876520862 0 254.744317269971 26.1159761252552 165.994646383517 41.5090109951309 189.02305341246 13.3333678295456 613.403499844046 155.28019441193 167.548788209098 11.0758158222872 70.8091840316297 31.6159727692805 97.1950722939791 55.9880133859839 0 13.8806801283828 15.9824952167484 25.0513564907655 88.023922863495 12.5153433464815 93.2802793595428 31.3180167953963 55.5012892506607 52.7902003078141 56.901521917512 5.86528612166657 179.607716476039 37.8118784298515 40.5323384866503 27.7772752016039 91.1707590176983 7.54645604032036 112.356004569794 84.4256272777354 20.5438680200686 64.0384352126427 28.9922950205896 129.375908549795 47.9572857901532 216.611493490354
"17soil17N" 200.396034370377 20.1806848619175 360.437522166279 17.5311993857109 232.719403604803 21.4926674822274 1872.47821579868 0 279.168387669558 24.4740482996549 167.365333850147 37.9649734190563 213.375958102771 17.251572941374 693.474737807494 157.833250039662 155.697806526174 14.542533126806 57.0781581403773 33.9019805085423 91.0935317388385 57.4297127796615 0 13.776300262798 23.1544628365919 27.0764258877695 92.2377778825667 11.8590334863117 101.302603131855 29.7254944840938 60.3705084422718 54.1992650465695 56.949262397096 5.54309559383749 193.104451888608 35.2716580230436 37.3659131161314 30.1772005661592 93.8226081236145 11.6821565951526 109.189114173813 88.5052221868791 19.5837285221532 83.4527248515458 26.9749429995947 143.441939670983 54.9013736695073 253.090496283788
"17soil9N" 159.540709618851 24.0703966507894 323.44555107411 15.4757922140413 190.447590835928 24.6506894884953 1729.88022261497 0 248.653486479929 29.3326440870926 154.171568323192 41.1371476022754 188.048222198273 14.4736823240622 534.840970079236 159.715490909426 149.851718365582 6.72974488624422 62.2293635877883 23.2296713590654 75.4195125371987 62.0273698206604 0 15.581880363173 11.4114968686277 27.7254318684106 75.6823206941519 7.20975292442174 86.3269306295494 23.503973367009 67.0753954180139 42.0252792034782 57.8908437625069 6.74319608539567 153.636405525382 41.3361166148547 39.1691195095952 14.4540212214574 88.1434389053861 8.35635836913386 101.727118557258 76.9576563610005 18.3862806832655 71.0738908673364 31.5584709044552 131.271299036022 42.2403018822753 209.265055860621
