"","OTU.ID","hit","size","GC"
"473","Zotu10432",1,4.49088,57.3
"474","Zotu10433",2,4.80685,67.1
"475","Zotu10434",4,12.1915,66.1
"476","Zotu10435",4,2.40152,42
"477","Zotu10436",4,16.0407,69.1
"478","Zotu10437",1,6.94615,70.257050008134
"479","Zotu10438",1,6.33369,58.6
"480","Zotu10439",2,7.47921,72.6409
"481","Zotu1044",1,4.90883,71.079640973511
"482","Zotu10440",2,9.85739,67.3872
"483","Zotu10441",6.91304347826087,8.16789956521739,72.1982229984836
"484","Zotu10442",1,0.915884,47.7
"485","Zotu10443",2,9.53209,63.0023
"486","Zotu10444",2,3.58232,43.1
"487","Zotu10445",2,7.81131,38.4
"488","Zotu10446",5,9.59519,72.4868350581489
"489","Zotu10447",2,5.34081,70.7
"490","Zotu10448",3,9.03368,44.9
"491","Zotu10449",1,3.04595,38.2
"492","Zotu1045",2,4.56314,67
"493","Zotu10450",1.01103752759382,4.72616086092715,66.2740969637215
"494","Zotu10452",1,5.03791,44.4
"495","Zotu10453",2,5.23176,60.8
"496","Zotu10454",5,8.999045,67.4
"497","Zotu10455",3.33333333333333,7.24766333333333,73.04253908961
"498","Zotu10456",2,3.81704,69.7
"499","Zotu10457",2,5.87773,45.7962
"500","Zotu10458",1,5.00189,44.5
"501","Zotu10459",1,5.78108,40.2737
"502","Zotu1046",2,9.53209,63.0023
"503","Zotu10460",2,1.85556,34
"504","Zotu10461",1,3.26109,53.6
"505","Zotu10462",3,9.59031,64.0943183275619
"506","Zotu10463",2,4.44318,66.2
"507","Zotu10464",4,4.35554,70.5
"508","Zotu10465",1,4.37923,71.0551
"509","Zotu10466",1,3.45829,68.1
"510","Zotu10467",7,8.10767,72.2923
"511","Zotu10468",1,3.517615,61.1038362720195
"512","Zotu1047",2,4.001,61.3
"513","Zotu10470",3,7.81141,43.1
"514","Zotu10471",1,5.52803,37.9
"515","Zotu10472",4,6.6640375,66.5969533484768
"516","Zotu10473",2,4.66945,68.3879282586814
"517","Zotu10474",10.6666666666667,3.2274,28.2823261695689
"518","Zotu10475",1,2.89704,50.7938
"519","Zotu10476",2,9.44631,69.5
"520","Zotu10477",1,4.66106,73.2
"521","Zotu10478",1,5.97161,60.3
"522","Zotu10479",2.28571428571429,3.89546428571429,61.2758404371384
