"Feature.ID" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "Confidence"
"115" "Zotu115" "Fungi" "Basidiomycota" "Agaricomycetes" "Cantharellales" "Cantharellales_fam_Incertae_sedis" "Burgoa" "Burgoa_verzuoliana" 0.999998707930171
"116" "Zotu116" "Fungi" "Basidiomycota" "Agaricomycetes" "Hymenochaetales" "Schizoporaceae" "Schizopora" "Schizopora_ovispora" 0.818272712977593
"117" "Zotu117" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "Phaeosphaeria" "Unassigned" 0.745098002555179
"118" "Zotu118" "Fungi" "Basidiomycota" "Agaricomycetes" "Trechisporales" "Hydnodontaceae" "Trechispora" "Unassigned" 0.929459992341599
"119" "Zotu119" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Talaromyces" "Unassigned" 0.999940368753398
"120" "Zotu120" "Fungi" "Basidiomycota" "Agaricomycetes" "Phallales" "Phallaceae" "Unassigned" "Unassigned" 0.972214125148195
"121" "Zotu121" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Orbilia" "Orbilia_stipitata" 0.999999983113611
"122" "Zotu122" "Fungi" "Ascomycota" "Sordariomycetes" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.964077157043751
"123" "Zotu123" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Unassigned" "Unassigned" "Unassigned" 0.993027349430444
"124" "Zotu124" "Fungi" "Basidiomycota" "Agaricomycetes" "Cantharellales" "Cantharellales_fam_Incertae_sedis" "Sistotrema" "Sistotrema_coronilla" 0.998202423352074
"125" "Zotu125" "Fungi" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.999999999999999
"126" "Zotu126" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Microdochiaceae" "Unassigned" "Unassigned" 0.999999995613152
"127" "Zotu127" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Penicillium" "Penicillium_toxicarium" 0.739102904216508
"128" "Zotu128" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Dactylella" "Unassigned" 0.980199915652334
"129" "Zotu129" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Bolbitiaceae" "Agrocybe" "Agrocybe_pediades" 0.887697224276036
"130" "Zotu130" "Fungi" "Basidiomycota" "Agaricomycetes" "Geastrales" "Geastraceae" "Geastrum" "Unassigned" 0.999998561416479
"131" "Zotu131" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Penicillium" "Unassigned" 0.831136750830628
"132" "Zotu132" "Fungi" "Basidiomycota" "Agaricomycetes" "Polyporales" "Meruliaceae" "Mycoacia" "Mycoacia_fuscoatra" 0.999818059443516
"133" "Zotu133" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "Unassigned" "Unassigned" 0.999873169690365
"134" "Zotu134" "Fungi" "Ascomycota" "Sordariomycetes" "Glomerellales" "Plectosphaerellaceae" "Lectera" "Unassigned" 0.999999999876886
"135" "Zotu135" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Unassigned" "Unassigned" "Unassigned" 0.986547186916476
"136" "Zotu136" "Fungi" "Basidiomycota" "Agaricomycetes" "Polyporales" "Meruliaceae" "Mycoacia" "Mycoacia_fuscoatra" 0.999883809551585
"137" "Zotu137" "Fungi" "Ascomycota" "Eurotiomycetes" "Onygenales" "Onygenales_fam_Incertae_sedis" "Chrysosporium" "Chrysosporium_pseudomerdarium" 0.999986985525374
"138" "Zotu138" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Lasiosphaeriaceae" "Schizothecium" "Unassigned" 0.761073852164697
"139" "Zotu139" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Melanommataceae" "Unassigned" "Unassigned" 0.999966215044597
"140" "Zotu140" "Fungi" "Ascomycota" "Sordariomycetes" "Chaetosphaeriales" "Chaetosphaeriaceae" "Unassigned" "Unassigned" 0.976757803017998
"141" "Zotu141" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Unassigned" "Unassigned" 0.838682166297653
"142" "Zotu142" "Fungi" "Basidiomycota" "Tremellomycetes" "Tremellales" "Bulleribasidiaceae" "Hannaella" "Hannaella_luteola" 0.999687136037247
"143" "Zotu143" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "Phaeosphaeria" "Unassigned" 0.984256102497192
"144" "Zotu144" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Unassigned" "Unassigned" "Unassigned" 0.764226103274957
"145" "Zotu145" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Unassigned" "Unassigned" "Unassigned" 0.999999640445734
"146" "Zotu146" "Fungi" "Ascomycota" "Leotiomycetes" "Helotiales" "Hyaloscyphaceae" "Microscypha" "Unassigned" 0.923872793407296
"147" "Zotu147" "Fungi" "Ascomycota" "Eurotiomycetes" "Onygenales" "Unassigned" "Unassigned" "Unassigned" 0.98533803218206
"148" "Zotu148" "Fungi" "Basidiomycota" "Agaricomycetes" "Cantharellales" "Unassigned" "Unassigned" "Unassigned" 0.80986160699545
"149" "Zotu149" "Fungi" "Basidiomycota" "Agaricomycetes" "Sebacinales" "Serendipitaceae" "Serendipita" "Serendipita_indica" 0.999999684142857
"150" "Zotu150" "Fungi" "Basidiomycota" "Agaricomycetes" "Auriculariales" "Auriculariaceae" "Auricularia" "Unassigned" 0.914988126913463
"151" "Zotu151" "Fungi" "Mortierellomycota" "Mortierellomycetes" "Mortierellales" "Mortierellaceae" "Mortierella" "Mortierella_alpina" 0.999579331690731
"152" "Zotu152" "Fungi" "Ascomycota" "Sordariomycetes" "Chaetosphaeriales" "Chaetosphaeriaceae" "Chloridium" "Chloridium_aseptatum" 0.92492055399485
"153" "Zotu153" "Fungi" "Ascomycota" "Dothideomycetes" "Tubeufiales" "Tubeufiaceae" "Helicoma" "Helicoma_vaccinii" 0.996097696926074
"154" "Zotu154" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Unassigned" "Unassigned" "Unassigned" 0.984651912385227
"155" "Zotu155" "Fungi" "Ascomycota" "Sordariomycetes" "Myrmecridiales" "Myrmecridiaceae" "Myrmecridium" "Unassigned" 0.816140090231079
"156" "Zotu156" "Fungi" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 1.00000000000001
"157" "Zotu157" "Fungi" "Ascomycota" "Dothideomycetes" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.763534260390689
"158" "Zotu158" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Dactylella" "Dactylella_clavata" 0.999999955254951
"159" "Zotu159" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Arthrobotrys" "Arthrobotrys_entomopaga" 0.941700330140873
"160" "Zotu160" "Fungi" "Ascomycota" "Leotiomycetes" "Helotiales" "Unassigned" "Unassigned" "Unassigned" 0.846339810635409
"161" "Zotu161" "Fungi" "Ascomycota" "Sordariomycetes" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.821026056168746
"162" "Zotu162" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Marasmiaceae" "Unassigned" "Unassigned" 0.997570686747315
"163" "Zotu163" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Marasmiaceae" "Unassigned" "Unassigned" 0.985637174931572
"164" "Zotu164" "Fungi" "Basidiomycota" "Agaricomycetes" "Tremellodendropsidales" "Unassigned" "Unassigned" "Unassigned" 0.999999857829447
"165" "Zotu165" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Talaromyces" "Unassigned" 0.999997511720492
"166" "Zotu166" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Microascaceae" "Mycochlamys" "Mycochlamys_macrospora" 0.881352402378268
"167" "Zotu167" "Fungi" "Ascomycota" "Leotiomycetes" "Helotiales" "Helotiaceae" "Articulospora" "Articulospora_proliferata" 0.912738912703999
"168" "Zotu168" "Fungi" "Ascomycota" "Leotiomycetes" "Helotiales" "Helotiales_fam_Incertae_sedis" "Xylogone" "Unassigned" 0.992978859191028
"169" "Zotu169" "Fungi" "Basidiomycota" "Agaricomycetes" "Auriculariales" "Auriculariaceae" "Auricularia" "Unassigned" 0.968978219249687
"170" "Zotu170" "Fungi" "Ascomycota" "Dothideomycetes" "Capnodiales" "Cladosporiaceae" "Cladosporium" "Cladosporium_cladosporioides" 0.970902264290025
"171" "Zotu171" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Lasiosphaeriaceae" "Schizothecium" "Unassigned" 0.971407345503336
"172" "Zotu172" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Entolomataceae" "Entoloma" "Entoloma_undatum" 0.827370733049474
"173" "Zotu173" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Pleosporales_fam_Incertae_sedis" "Latorua" "Latorua_caligans" 0.811001021904342
"174" "Zotu174" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Marasmiaceae" "Marasmius" "Unassigned" 0.932204702364566
