Feature ID	Taxon	Confidence
Zotu5854	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__unidentified	0.9912552332103812
Zotu5855	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Diversispora;s__unidentified	0.8043511966166987
Zotu5856	k__Fungi	1.0000000000000115
Zotu5857	k__Fungi	0.9999999999999882
Zotu5858	k__Fungi	1.0000000000000018
Zotu5859	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lycoperdaceae;g__Calvatia	0.9995453766725418
Zotu5860	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_oligosperma	0.9999998993559467
Zotu5861	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__unidentified;s__unidentified	0.9253483030198271
Zotu5862	k__Fungi	1.0000000000000107
Zotu5863	k__Fungi	1.0000000000000142
Zotu5864	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Lecanicillium;s__Lecanicillium_subprimulinum	0.9929385243434952
Zotu5865	k__Fungi	1.0000000000000029
Zotu5866	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8005895561545728
Zotu5867	k__Fungi;p__Glomeromycota	0.9997030031233844
Zotu5868	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7568789466385029
Zotu5869	k__Fungi	0.9999999999999912
Zotu5870	k__Fungi	0.9999999999999865
Zotu5871	k__Fungi;p__Basidiomycota;c__Agaricomycetes	0.7332992249655811
Zotu5872	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9818376480268021
Zotu5873	k__Fungi	0.9999999999999902
Zotu5874	k__Fungi	1.0
Zotu5875	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9280113463651641
Zotu5876	k__Fungi	1.0000000000000013
Zotu5877	k__Fungi;p__Rozellomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9823047740577021
Zotu5878	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8278604436112958
Zotu5879	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8266355561444529
Zotu5880	k__Fungi;p__Ascomycota	0.7468184106790092
Zotu5881	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lycoperdaceae;g__Calvatia	0.999406410588493
Zotu5882	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7731252958571092
Zotu5883	k__Fungi	1.000000000000004
Zotu5884	k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7882029007652359
Zotu5885	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8222680280342247
Zotu5886	k__Fungi	0.9999999999999958
Zotu5887	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys;s__unidentified	0.8150233205061861
Zotu5888	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Omphalotaceae	0.9979460554133639
Zotu5889	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8614724626634973
Zotu5890	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Meliniomyces;s__unidentified	0.9972155922568945
Zotu5891	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9400087837523624
Zotu5892	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phialophora	0.9774230896962625
Zotu5893	k__Fungi	0.9999999999999856
Zotu5894	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8123616351996764
